shared-library,"/Users/wavded/.nvm/v0.10.24/bin/node",0x100001280,0x1003e169d
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Carbon",0x7fff962adfd0,0x7fff962adfd0
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff962a3a1a,0x7fff962a3bbe
shared-library,"/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation",0x7fff982cd0d0,0x7fff9853c952
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/CoreServices",0x7fff90889fc0,0x7fff90889fc0
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/ApplicationServices",0x7fff982cafb0,0x7fff982cafb0
shared-library,"/usr/lib/libstdc++.6.dylib",0x7fff91d56910,0x7fff91d95692
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff936f2ce0,0x7fff93892bdc
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/CommonPanels.framework/Versions/A/CommonPanels",0x7fff93acd857,0x7fff93acffd2
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Help.framework/Versions/A/Help",0x7fff91fb7f60,0x7fff91fba17a
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/HIToolbox.framework/Versions/A/HIToolbox",0x7fff99f7fe30,0x7fff9a1dc433
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/ImageCapture.framework/Versions/A/ImageCapture",0x7fff90f714c0,0x7fff90f7cb4a
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Ink.framework/Versions/A/Ink",0x7fff96565120,0x7fff965d8d30
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/OpenScripting.framework/Versions/A/OpenScripting",0x7fff988b9280,0x7fff988cbf7f
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Print.framework/Versions/A/Print",0x7fff8efb99f7,0x7fff8efba710
